;accumulated_distance;accumulated_euclidian_distance;cell_paths_average_directness;center_of_mass_displacement_CoM-X;center_of_mass_displacement_CoM-Y;forward_migration_index_X;forward_migration_index_Y;mean_cell_speed;stdev_cell_velocity;
122;18561.64715;7599.048565;0.269216193;-1.993648516;4.751823013;-0.019341892;0.017550193;8.787538113;4.534696584;
129;21623.51972;10819.32906;0.175278721;10.5900214;1.621008931;0.056899625;0.017820867;8.217137266;5.255412721;
164;10999.25094;5094.552505;0.292576913;-2.329792328;-7.858522308;-0.014869372;0.03318121;8.794381912;6.252235263;
805;17984.52149;3738.004837;0.149945239;-0.604670548;0.799277161;0.007521901;0.010586253;7.008292143;4.126611112;
858;18475.67274;6452.35702;0.319743623;-12.64567296;-11.6439373;-0.005850912;-0.08142069;7.731697125;4.256897967;
859;11370.8531;2789.757193;0.18923952;-6.512469191;4.806822498;-0.036794505;0.015383428;5.573352938;3.235144553;
714;7036.048308;1872.692306;0.327570592;1.055045852;13.00458692;0.027381695;0.188427761;4.390606954;2.910652047;
722;9675.638747;10086.05211;0.149882655;-14.40888562;20.95056879;-0.03972797;0.074309747;9.882798433;4.821221054;
751;13130.10852;6052.75571;0.280344967;-21.42325772;-13.80609942;-0.178092845;-0.098214556;5.588833047;4.109432425;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
